,Wolves,Sheep,Human
0,50,100,50
1,50,84,45
2,52,74,40
3,54,62,40
4,56,51,37
5,56,42,35
6,57,33,34
7,59,29,27
8,63,28,23
9,67,25,23
10,69,17,22
11,72,18,19
12,75,17,19
13,77,14,18
14,78,8,16
15,82,7,12
16,84,5,11
17,88,4,12
18,86,3,11
19,85,2,10
20,81,1,9
21,77,1,8
22,78,1,8
23,82,1,6
24,82,0,6
25,76,0,5
26,74,0,6
27,74,0,6
28,69,0,6
29,73,0,7
30,79,0,4
31,73,0,4
32,73,0,3
33,70,0,2
34,64,0,2
35,63,0,1
36,58,0,1
37,58,0,1
38,60,0,1
39,53,0,1
40,45,0,1
41,47,0,1
42,38,0,1
43,35,0,1
44,31,0,2
45,33,0,2
46,34,0,2
47,28,0,3
48,29,0,3
49,27,0,3
50,19,0,3
51,17,0,3
52,19,0,3
53,19,0,3
54,17,0,3
55,13,0,3
56,13,0,3
57,11,0,3
58,11,0,3
59,10,0,3
60,8,0,3
61,6,0,3
62,6,0,3
63,6,0,3
64,6,0,3
65,6,0,3
66,6,0,3
67,9,0,3
68,6,0,3
69,3,0,3
70,4,0,3
71,4,0,4
72,4,0,4
73,4,0,5
74,2,0,5
75,2,0,5
76,2,0,5
77,2,0,6
78,1,0,6
79,1,0,6
80,1,0,6
81,1,0,6
82,1,0,6
83,1,0,6
84,1,0,6
85,1,0,7
86,1,0,7
87,1,0,7
88,0,0,8
89,0,0,8
90,0,0,8
91,0,0,9
92,0,0,9
93,0,0,9
94,0,0,11
95,0,0,11
96,0,0,11
97,0,0,11
98,0,0,11
99,0,0,12
100,0,0,13
101,0,0,13
102,0,0,13
103,0,0,13
104,0,0,13
105,0,0,13
106,0,0,14
107,0,0,15
108,0,0,15
109,0,0,16
110,0,0,17
111,0,0,18
112,0,0,19
113,0,0,20
114,0,0,22
115,0,0,22
116,0,0,22
117,0,0,23
118,0,0,24
119,0,0,26
120,0,0,29
121,0,0,29
122,0,0,29
123,0,0,31
124,0,0,33
125,0,0,36
126,0,0,36
127,0,0,39
128,0,0,40
129,0,0,41
130,0,0,41
131,0,0,41
132,0,0,43
133,0,0,43
134,0,0,45
135,0,0,46
136,0,0,47
137,0,0,48
138,0,0,51
139,0,0,55
140,0,0,57
141,0,0,58
142,0,0,61
143,0,0,62
144,0,0,63
145,0,0,66
146,0,0,67
147,0,0,69
148,0,0,74
149,0,0,75
150,0,0,77
151,0,0,81
152,0,0,85
153,0,0,87
154,0,0,89
155,0,0,91
156,0,0,91
157,0,0,91
158,0,0,93
159,0,0,97
160,0,0,104
161,0,0,109
162,0,0,114
163,0,0,119
164,0,0,125
165,0,0,130
166,0,0,138
167,0,0,143
168,0,0,147
169,0,0,152
170,0,0,155
171,0,0,163
172,0,0,167
173,0,0,179
174,0,0,185
175,0,0,191
176,0,0,197
177,0,0,205
178,0,0,214
179,0,0,217
180,0,0,222
181,0,0,223
182,0,0,228
183,0,0,231
184,0,0,236
185,0,0,240
186,0,0,247
187,0,0,247
188,0,0,253
189,0,0,257
190,0,0,265
191,0,0,275
192,0,0,282
193,0,0,286
194,0,0,297
195,0,0,305
196,0,0,315
197,0,0,322
198,0,0,334
199,0,0,346
200,0,0,355
201,0,0,368
202,0,0,375
203,0,0,378
204,0,0,386
205,0,0,394
206,0,0,401
207,0,0,411
208,0,0,423
209,0,0,436
210,0,0,444
211,0,0,451
212,0,0,464
213,0,0,473
214,0,0,484
215,0,0,486
216,0,0,499
217,0,0,508
218,0,0,509
219,0,0,519
220,0,0,525
221,0,0,538
222,0,0,548
223,0,0,561
224,0,0,582
225,0,0,588
226,0,0,594
227,0,0,614
228,0,0,616
229,0,0,618
230,0,0,629
231,0,0,645
232,0,0,663
233,0,0,667
234,0,0,672
235,0,0,673
236,0,0,688
237,0,0,692
238,0,0,703
239,0,0,698
240,0,0,705
241,0,0,698
242,0,0,710
243,0,0,728
244,0,0,734
245,0,0,738
246,0,0,739
247,0,0,741
248,0,0,744
249,0,0,740
250,0,0,746
251,0,0,742
252,0,0,744
253,0,0,740
254,0,0,736
255,0,0,732
256,0,0,724
257,0,0,726
258,0,0,735
259,0,0,733
260,0,0,737
261,0,0,746
262,0,0,746
263,0,0,739
264,0,0,742
265,0,0,748
266,0,0,747
267,0,0,736
268,0,0,718
269,0,0,725
270,0,0,727
271,0,0,731
272,0,0,734
273,0,0,746
274,0,0,753
275,0,0,768
276,0,0,768
277,0,0,765
278,0,0,756
279,0,0,773
280,0,0,776
281,0,0,785
282,0,0,787
283,0,0,780
284,0,0,782
285,0,0,773
286,0,0,771
287,0,0,772
288,0,0,771
289,0,0,776
