,Wolves,Sheep,Human
0,50,100,50
1,49,78,44
2,47,67,42
3,48,56,40
4,50,41,42
5,55,38,38
6,60,35,36
7,59,26,33
8,57,20,29
9,58,20,22
10,57,19,20
11,58,17,20
12,60,16,20
13,63,15,17
14,60,12,16
15,66,12,11
16,73,10,12
17,78,8,11
18,81,6,9
19,83,4,9
20,79,2,6
21,79,2,7
22,83,1,8
23,82,1,8
24,80,1,7
25,83,1,7
26,86,1,6
27,89,1,7
28,91,1,6
29,86,1,6
30,84,1,7
31,87,0,7
32,84,0,6
33,86,0,4
34,84,0,4
35,86,0,4
36,81,0,4
37,70,0,3
38,63,0,2
39,63,0,2
40,57,0,3
41,53,0,3
42,53,0,3
43,54,0,3
44,52,0,3
45,46,0,3
46,45,0,3
47,44,0,3
48,44,0,3
49,44,0,4
50,39,0,4
51,32,0,4
52,29,0,4
53,29,0,5
54,27,0,5
55,27,0,5
56,23,0,4
57,20,0,4
58,20,0,4
59,18,0,5
60,15,0,5
61,11,0,5
62,11,0,5
63,12,0,5
64,11,0,5
65,9,0,6
66,8,0,8
67,7,0,11
68,6,0,12
69,6,0,14
70,5,0,14
71,5,0,13
72,5,0,15
73,5,0,15
74,5,0,18
75,4,0,18
76,4,0,20
77,4,0,20
78,4,0,20
79,2,0,20
80,2,0,20
81,2,0,21
82,2,0,22
83,2,0,25
84,2,0,29
85,2,0,30
86,2,0,33
87,2,0,34
88,2,0,37
89,2,0,38
90,3,0,40
91,4,0,43
92,4,0,43
93,3,0,42
94,3,0,45
95,2,0,47
96,2,0,50
97,2,0,54
98,2,0,56
99,2,0,59
100,2,0,63
101,2,0,65
102,2,0,71
103,3,0,71
104,3,0,73
105,3,0,78
106,3,0,79
107,3,0,80
108,3,0,84
109,3,0,86
110,3,0,88
111,3,0,93
112,3,0,102
113,4,0,105
114,5,0,104
115,5,0,110
116,5,0,112
117,5,0,114
118,5,0,120
119,5,0,127
120,6,0,136
121,6,0,140
122,6,0,138
123,7,0,143
124,7,0,150
125,10,0,154
126,11,0,160
127,10,0,165
128,10,0,171
129,10,0,183
130,10,0,187
131,10,0,188
132,10,0,195
133,10,0,204
134,11,0,207
135,14,0,212
136,14,0,214
137,14,0,220
138,15,0,217
139,16,0,220
140,17,0,225
141,17,0,230
142,19,0,235
143,19,0,245
144,19,0,247
145,19,0,251
146,20,0,260
147,21,0,259
148,25,0,256
149,26,0,257
150,29,0,269
151,29,0,280
152,31,0,277
153,32,0,278
154,33,0,285
155,35,0,287
156,35,0,274
157,38,0,273
158,39,0,271
159,42,0,268
160,44,0,263
161,46,0,257
162,49,0,254
163,50,0,247
164,51,0,242
165,56,0,233
166,59,0,233
167,63,0,230
168,67,0,220
169,66,0,199
170,70,0,184
171,73,0,176
172,78,0,159
173,83,0,144
174,83,0,133
175,88,0,119
176,95,0,103
177,96,0,81
178,98,0,70
179,99,0,60
180,107,0,55
181,113,0,53
182,114,0,48
183,120,0,38
184,120,0,32
185,124,0,24
186,127,0,23
187,130,0,21
188,134,0,19
189,140,0,15
190,146,0,13
191,154,0,11
192,163,0,10
193,171,0,7
194,179,0,6
195,188,0,6
196,189,0,4
197,195,0,3
198,195,0,3
199,208,0,2
200,217,0,2
201,220,0,1
202,218,0,1
203,217,0,0
204,221,0,0
205,228,0,0
206,231,0,0
207,219,0,0
208,206,0,0
209,208,0,0
210,199,0,0
211,199,0,0
212,184,0,0
213,178,0,0
214,177,0,0
215,170,0,0
216,164,0,0
217,141,0,0
218,137,0,0
219,129,0,0
220,126,0,0
221,121,0,0
222,119,0,0
223,112,0,0
224,109,0,0
225,98,0,0
226,91,0,0
227,90,0,0
228,85,0,0
229,84,0,0
230,83,0,0
231,78,0,0
232,76,0,0
233,78,0,0
234,79,0,0
235,77,0,0
236,75,0,0
237,68,0,0
238,65,0,0
239,61,0,0
240,54,0,0
241,56,0,0
242,58,0,0
243,47,0,0
244,44,0,0
245,39,0,0
246,39,0,0
247,38,0,0
248,31,0,0
249,32,0,0
250,35,0,0
251,29,0,0
252,29,0,0
253,31,0,0
254,30,0,0
255,33,0,0
256,35,0,0
257,33,0,0
258,31,0,0
259,35,0,0
260,32,0,0
261,32,0,0
262,30,0,0
263,26,0,0
264,23,0,0
265,21,0,0
266,22,0,0
267,21,0,0
268,13,0,0
269,10,0,0
270,8,0,0
271,9,0,0
272,9,0,0
273,9,0,0
274,10,0,0
275,10,0,0
276,8,0,0
277,8,0,0
278,7,0,0
279,7,0,0
280,7,0,0
281,8,0,0
282,6,0,0
283,5,0,0
284,5,0,0
285,3,0,0
286,4,0,0
287,5,0,0
288,3,0,0
289,2,0,0
290,2,0,0
291,1,0,0
292,1,0,0
293,1,0,0
294,1,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,0
322,0,0,0
